State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
Tamil Nadu,2020,Wind,"15,914.94","9,308.64","68,750.00",1816.774087,0.1951707324,"59,441.36",2.64%
Gujarat,2020,Wind,"15,216.27","7,491.52","142,560.00",1737.017009,0.2318644293,"135,068.48",1.22%
Tamil Nadu,2019,Wind,"13,641.57","8,973.21",0.00,1557.257192,0.173545163,"-8,973.21",0.00%
Tamil Nadu,2018,Wind,"13,426.04","8,201.39",0.00,1532.652968,0.1868772206,"-8,201.39",0.00%
Tamil Nadu,2017,Wind,"13,066.35","7,865.76",0.00,1491.592922,0.1896311256,"-7,865.76",0.00%
Gujarat,2019,Wind,"12,060.60","6,073.07",0.00,1376.780251,0.2267025164,"-6,073.07",0.00%
Karnataka,2020,Solar,"11,473.05","7,277.93","24,700.00",1309.708904,0.1799562381,"17,422.07",5.30%
Gujarat,2018,Wind,"10,493.93","5,613.42",0.00,1197.937557,0.2134060087,"-5,613.42",0.00%
Karnataka,2020,Wind,"10,259.62","4,790.60","124,155.00",1171.188927,0.2444764595,"119,364.40",0.94%
Karnataka,2019,Wind,"9,924.08","4,694.90",0.00,1132.885845,0.2413013791,"-4,694.90",0.00%
Andhra Pradesh,2019,Wind,"8,883.44","4,090.45",0.00,1014.091667,0.2479168959,"-4,090.45",0.00%
Tamil Nadu,2015,Wind,"8,783.79","7,459.39",0.00,1002.715639,0.1344232758,"-7,459.39",0.00%
Gujarat,2017,Wind,"8,634.76","5,340.62",0.00,985.7033105,0.1845672058,"-5,340.62",0.00%
Maharashtra,2020,Wind,"8,472.78","5,000.33","98,213.00",967.2123288,0.1934296994,"93,212.67",0.98%
Tamil Nadu,2016,Wind,"8,277.46","7,618.19","33,799.64",944.9157534,0.1240341542,"26,181.45",2.80%
Tamil Nadu,2014,Wind,"8,178.71","7,269.50",0.00,933.6424658,0.1284328311,"-7,269.50",0.00%
Rajasthan,2020,Solar,"8,049.61","5,137.91","142,310.00",918.9049087,0.1788479963,"137,172.09",0.65%
Maharashtra,2019,Wind,"8,042.01","4,794.13",0.00,918.0380137,0.1914920984,"-4,794.13",0.00%
Tamil Nadu,2013,Wind,"7,999.79","7,162.18",0.00,913.2179224,0.127505581,"-7,162.18",0.00%
Karnataka,2019,Solar,"7,656.78","6,095.56","24,700.00",874.061758,0.1433931842,"18,604.44",3.54%
Andhra Pradesh,2020,Wind,"7,653.95","4,092.45","74,906.00",873.7386986,0.2135001524,"70,813.55",1.17%
Maharashtra,2017,Wind,"7,622.93","4,771.33",0.00,870.1974886,0.1823804869,"-4,771.33",0.00%
Karnataka,2018,Wind,"7,488.46","4,509.40",0.00,854.8472603,0.189570067,"-4,509.40",0.00%
Gujarat,2016,Wind,"7,297.64","3,948.62","84,430.51",833.0641553,0.2109760259,"80,481.89",0.99%
