Country,State,Year,Region-Wise Installation Of Electricity,"Energy Value Type (Potential, Capacity, Generation)",Types Of Energy Sources,Nature Of Energy Sources,"Types Of Usage (Utility ,Captive)",Type Of Energy Sector,"Values For Renewable Electricity (UOM:MW(MegaWatt)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",ER,Capacity,SMALL HYDRO,,,,5.25
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",ER,Capacity,SOLAR,,,,12.19
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",ER,Potential,SMALL HYDRO,RENEWABLE,,,7.27
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",ER,Potential,WIND,RENEWABLE,,,1277
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,BIOMASS-BAGASSE,RENEWABLE,UTILITY,UTILITY-RE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,COAL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,DIESEL,NON-RENEWABLE,UTILITY,STATE,96.19
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,HYDRO,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,NATURAL GAS,NON-RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,RENEWABLES,RENEWABLE,UTILITY,UTILITY-RE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,SMALL HYDRO,RENEWABLE,UTILITY,UTILITY-RE,5.704
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,SOLAR,RENEWABLE,UTILITY,UTILITY-RE,11.598
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,CAPTIVE,CAPTIVE,0
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",,Generation,WIND,RENEWABLE,UTILITY,UTILITY-RE,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,COGENERATION-BAGASSE,,,,477.18
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,SMALL HYDRO,,,,162.11
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,SOLAR,,,,3610.02
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,WASTE,,,,23.16
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Capacity,WIND,,,,4092.45
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,BIOMASS,RENEWABLE,,,578
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,COGENERATION-BAGASSE,RENEWABLE,,,300
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,SMALL HYDRO,RENEWABLE,,,409
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,SOLAR,RENEWABLE,,,38440
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",SR,Potential,WASTE,RENEWABLE,,,123
